c = 0x0234, r = 0x019a
c = 0x0235, r = 0x811a
c = 0x0236, r = 0x011b
c = 0x0237, r = 0x819b
c = 0x0238, r = 0x019c
c = 0x0239, r = 0x811c
c = 0x023a, r = 0x011d
c = 0x023b, r = 0x819d
c = 0x023c, r = 0x019e
c = 0x023d, r = 0x811e
c = 0x023e, r = 0x011f
c = 0x023f, r = 0x819f
c = 0x0240, r = 0x01a0
c = 0x0241, r = 0x8120
c = 0x0242, r = 0x0121
c = 0x0243, r = 0x81a1
c = 0x0244, r = 0x01a2
c = 0x0245, r = 0x8122
c = 0x0246, r = 0x0123
c = 0x0247, r = 0x81a3
c = 0x0248, r = 0x01a4
c = 0x0249, r = 0x8124
c = 0x024a, r = 0x0125
c = 0x024b, r = 0x81a5
c = 0x024c, r = 0x01a6
c = 0x024d, r = 0x8126
c = 0x024e, r = 0x0127
c = 0x024f, r = 0x81a7
c = 0x0250, r = 0x01a8
c = 0x0251, r = 0x8128
c = 0x0252, r = 0x0129
c = 0x0253, r = 0x81a9
c = 0x0254, r = 0x01aa
c = 0x0255, r = 0x812a
c = 0x0256, r = 0x012b
c = 0x0257, r = 0x81ab
c = 0x0258, r = 0x01ac
c = 0x0259, r = 0x812c
c = 0x025a, r = 0x012d
c = 0x025b, r = 0x81ad
c = 0x025c, r = 0x01ae
c = 0x025d, r = 0x812e
c = 0x025e, r = 0x012f
c = 0x025f, r = 0x81af
c = 0x0260, r = 0x01b0
c = 0x0261, r = 0x8130
c = 0x0262, r = 0x0131
c = 0x0263, r = 0x81b1
c = 0x0264, r = 0x01b2
c = 0x0265, r = 0x8132
c = 0x0266, r = 0x0133
c = 0x0267, r = 0x81b3
c = 0x0268, r = 0x01b4
c = 0x0269, r = 0x8134
c = 0x026a, r = 0x0135
c = 0x026b, r = 0x81b5
c = 0x026c, r = 0x01b6
c = 0x026d, r = 0x8136
c = 0x026e, r = 0x0137
c = 0x026f, r = 0x81b7
c = 0x0270, r = 0x01b8
c = 0x0271, r = 0x8138
c = 0x0272, r = 0x0139
c = 0x0273, r = 0x81b9
c = 0x0274, r = 0x01ba
c = 0x0275, r = 0x813a
c = 0x0276, r = 0x013b
c = 0x0277, r = 0x81bb
c = 0x0278, r = 0x01bc
c = 0x0279, r = 0x813c
c = 0x027a, r = 0x013d
c = 0x027b, r = 0x81bd
c = 0x027c, r = 0x01be
c = 0x027d, r = 0x813e
c = 0x027e, r = 0x013f
c = 0x027f, r = 0x81bf
c = 0x0280, r = 0xc1a0
c = 0x0281, r = 0x4100
c = 0x0282, r = 0x4121
c = 0x0283, r = 0xc181
c = 0x0284, r = 0xc3a3
c = 0x0285, r = 0x4303
c = 0x0286, r = 0x4322
c = 0x0287, r = 0xc382
c = 0x0288, r = 0xc5a6
c = 0x0289, r = 0x4506
c = 0x028a, r = 0x4527
c = 0x028b, r = 0xc587
c = 0x028c, r = 0xc7a5
c = 0x028d, r = 0x4705
c = 0x028e, r = 0x4724
c = 0x028f, r = 0xc784
c = 0x0290, r = 0xc9ac
c = 0x0291, r = 0x490c
c = 0x0292, r = 0x492d
c = 0x0293, r = 0xc98d
c = 0x0294, r = 0xcbaf
c = 0x0295, r = 0x4b0f
c = 0x0296, r = 0x4b2e
c = 0x0297, r = 0xcb8e
c = 0x0298, r = 0xcdaa
c = 0x0299, r = 0x4d0a
c = 0x029a, r = 0x4d2b
c = 0x029b, r = 0xcd8b
c = 0x029c, r = 0xcfa9
c = 0x029d, r = 0x4f09
c = 0x029e, r = 0x4f28
c = 0x029f, r = 0xcf88
c = 0x02a0, r = 0xd1b8
c = 0x02a1, r = 0x5118
c = 0x02a2, r = 0x5139
c = 0x02a3, r = 0xd199
c = 0x02a4, r = 0xd3bb
c = 0x02a5, r = 0x531b
c = 0x02a6, r = 0x533a
c = 0x02a7, r = 0xd39a
c = 0x02a8, r = 0xd4be
c = 0x02a9, r = 0x541e
c = 0x02aa, r = 0x543f
c = 0x02ab, r = 0xd49f
c = 0x02ac, r = 0xd6bd
c = 0x02ad, r = 0x561d
c = 0x02ae, r = 0x563c
c = 0x02af, r = 0xd69c
c = 0x02b0, r = 0xd9b4
c = 0x02b1, r = 0x5914
c = 0x02b2, r = 0x5935
c = 0x02b3, r = 0xd995
c = 0x02b4, r = 0xdbb7
c = 0x02b5, r = 0x5b17
c = 0x02b6, r = 0x5b36
c = 0x02b7, r = 0xdb96
c = 0x02b8, r = 0xdcb2
c = 0x02b9, r = 0x5c12
c = 0x02ba, r = 0x5c33
c = 0x02bb, r = 0xdc93
c = 0x02bc, r = 0xdeb1
c = 0x02bd, r = 0x5e11
c = 0x02be, r = 0x5e30
c = 0x02bf, r = 0xde90
c = 0x02c0, r = 0xe190
c = 0x02c1, r = 0x6130
c = 0x02c2, r = 0x6111
c = 0x02c3, r = 0xe1b1
c = 0x02c4, r = 0xe393
c = 0x02c5, r = 0x6333
c = 0x02c6, r = 0x6312
c = 0x02c7, r = 0xe3b2
c = 0x02c8, r = 0xe496
c = 0x02c9, r = 0x6436
c = 0x02ca, r = 0x6417
c = 0x02cb, r = 0xe4b7
c = 0x02cc, r = 0xe695
c = 0x02cd, r = 0x6635
c = 0x02ce, r = 0x6614
c = 0x02cf, r = 0xe6b4
c = 0x02d0, r = 0xe99c
c = 0x02d1, r = 0x693c
c = 0x02d2, r = 0x691d
c = 0x02d3, r = 0xe9bd
c = 0x02d4, r = 0xeb9f
c = 0x02d5, r = 0x6b3f
c = 0x02d6, r = 0x6b1e
c = 0x02d7, r = 0xebbe
c = 0x02d8, r = 0xec9a
c = 0x02d9, r = 0x6c3a
c = 0x02da, r = 0x6c1b
c = 0x02db, r = 0xecbb
c = 0x02dc, r = 0xee99
c = 0x02dd, r = 0x6e39
c = 0x02de, r = 0x6e18
c = 0x02df, r = 0xeeb8
c = 0x02e0, r = 0xf188
c = 0x02e1, r = 0x7128
c = 0x02e2, r = 0x7109
c = 0x02e3, r = 0xf1a9
c = 0x02e4, r = 0xf38b
c = 0x02e5, r = 0x732b
c = 0x02e6, r = 0x730a
c = 0x02e7, r = 0xf3aa
c = 0x02e8, r = 0xf58e
c = 0x02e9, r = 0x752e
c = 0x02ea, r = 0x750f
c = 0x02eb, r = 0xf5af
c = 0x02ec, r = 0xf78d
c = 0x02ed, r = 0x772d
c = 0x02ee, r = 0x770c
c = 0x02ef, r = 0xf7ac
c = 0x02f0, r = 0xf984
c = 0x02f1, r = 0x7924
c = 0x02f2, r = 0x7905
c = 0x02f3, r = 0xf9a5
c = 0x02f4, r = 0xfb87
c = 0x02f5, r = 0x7b27
c = 0x02f6, r = 0x7b06
c = 0x02f7, r = 0xfba6
c = 0x02f8, r = 0xfd82
c = 0x02f9, r = 0x7d22
c = 0x02fa, r = 0x7d03
c = 0x02fb, r = 0xfda3
c = 0x02fc, r = 0xff81
c = 0x02fd, r = 0x7f21
c = 0x02fe, r = 0x7f00
c = 0x02ff, r = 0xffa0
c = 0x0300, r = 0x0140
c = 0x0301, r = 0x4100
c = 0x0302, r = 0x8180
c = 0x0303, r = 0xc1c0
c = 0x0304, r = 0x01c1
c = 0x0305, r = 0x4181
c = 0x0306, r = 0x8101
c = 0x0307, r = 0xc141
c = 0x0308, r = 0x0142
c = 0x0309, r = 0x4102
c = 0x030a, r = 0x8182
c = 0x030b, r = 0xc1c2
c = 0x030c, r = 0x01c3
c = 0x030d, r = 0x4183
c = 0x030e, r = 0x8103
c = 0x030f, r = 0xc143
c = 0x0310, r = 0x0144
c = 0x0311, r = 0x4104
c = 0x0312, r = 0x8184
c = 0x0313, r = 0xc1c4
c = 0x0314, r = 0x01c5
c = 0x0315, r = 0x4185
c = 0x0316, r = 0x8105
c = 0x0317, r = 0xc145
c = 0x0318, r = 0x0146
c = 0x0319, r = 0x4106
c = 0x031a, r = 0x8186
c = 0x031b, r = 0xc1c6
c = 0x031c, r = 0x01c7
c = 0x031d, r = 0x4187
c = 0x031e, r = 0x8107
c = 0x031f, r = 0xc147
c = 0x0320, r = 0x0148
c = 0x0321, r = 0x4108
c = 0x0322, r = 0x8188
c = 0x0323, r = 0xc1c8
c = 0x0324, r = 0x01c9
c = 0x0325, r = 0x4189
c = 0x0326, r = 0x8109
c = 0x0327, r = 0xc149
c = 0x0328, r = 0x014a
c = 0x0329, r = 0x410a
c = 0x032a, r = 0x818a
c = 0x032b, r = 0xc1ca
c = 0x032c, r = 0x01cb
c = 0x032d, r = 0x418b
c = 0x032e, r = 0x810b
c = 0x032f, r = 0xc14b
c = 0x0330, r = 0x014c
c = 0x0331, r = 0x410c
c = 0x0332, r = 0x818c
c = 0x0333, r = 0xc1cc
c = 0x0334, r = 0x01cd
c = 0x0335, r = 0x418d
c = 0x0336, r = 0x810d
c = 0x0337, r = 0xc14d
c = 0x0338, r = 0x014e
